,Kx [1/m],Ky [1/m],Kz [1/m],intensity
165,-3396450.390954875,2832300.564118151,1266924960.4516633,1.3686200328294753e-07
166,-3390252.4887815993,2839716.500959911,1266924960.4516635,1.3613571290326528e-07
167,-3384054.5866083237,2847099.629183355,1266924960.4516633,1.354182992289525e-07
168,-3377856.6844350486,2854450.2032804843,1266924960.4516633,1.347096043145413e-07
169,-3371658.782261773,2861768.4741460127,1266924960.4516633,1.3400947393217256e-07
170,-3365460.8800884984,2869054.6889733556,1266924960.4516633,1.3331775748301148e-07
171,-3359262.977915222,2876309.091329372,1266924960.4516633,1.3263430789127639e-07
172,-3353065.075741947,2883531.9213603307,1266924960.4516633,1.3195898148705663e-07
173,-3346867.1735686725,2890723.4156840392,1266924960.4516635,1.312916379279479e-07
174,-3340669.2713953964,2897883.807680356,1266924960.4516633,1.306321400790817e-07
175,-3334471.3692221213,2905013.3272479144,1266924960.4516633,1.2998035395575213e-07
176,-3328273.467048846,2912112.201179068,1266924960.4516633,1.293361486002589e-07
177,-3322075.5648755706,2919180.653002482,1266924960.4516633,1.286993960205468e-07
178,-3315877.662702295,2926218.903221015,1266924960.4516633,1.280699710880981e-07
179,-3309679.76052902,2933227.16924005,1266924960.4516633,1.2744775147225106e-07
180,-3303481.858355745,2940205.665426825,1266924960.4516635,1.2683261756256283e-07
181,-3297283.9561824696,2947154.6033420097,1266924960.4516633,1.2622445237540797e-07
182,-3291086.054009194,2954074.1914907955,1266924960.4516633,1.2562314151398208e-07
183,-3284888.1518359184,2960964.635638865,1266924960.4516633,1.2502857307044446e-07
184,-3278690.2496626438,2967826.1388214775,1266924960.4516635,1.2444063756302333e-07
185,-3272492.3474893686,2974658.901308854,1266924960.4516635,1.2385922787950366e-07
186,-3266294.4453160926,2981463.1207003044,1266924960.4516633,1.232842392091838e-07
187,-3260096.543142818,2988238.991930866,1266924960.4516635,1.2271556898581664e-07
188,-3253898.6409695423,2994986.7074482986,1266924960.4516635,1.2215311681500165e-07
189,-3247700.738796267,3001706.4571313425,1266924960.4516633,1.2159678442981836e-07
190,-3241502.8366229916,3008398.428378794,1266924960.4516633,1.2104647563063113e-07
191,-3235304.934449716,3015062.806112005,1266924960.4516633,1.2050209623528625e-07
192,-3229107.032276441,3021699.772946346,1266924960.4516633,1.19963554014064e-07
193,-3222909.1301031653,3028309.509064092,1266924960.4516633,1.1943075865590248e-07
194,-3216711.2279298906,3034892.1924259514,1266924960.4516633,1.1890362170245656e-07
195,-3210513.325756614,3041447.9986848366,1266924960.4516633,1.1838205651304186e-07
196,-3204315.4235833394,3047977.1012683143,1266924960.4516633,1.1786597821423977e-07
197,-3198117.521410064,3054479.671375797,1266924960.4516633,1.1735530365914108e-07
198,-3191919.6192367887,3060955.878142643,1266924960.4516633,1.1684995137180367e-07
199,-3185721.7170635136,3067405.888551432,1266924960.4516633,1.1634984151732198e-07
200,-3179523.8148902385,3073829.86746892,1266924960.4516633,1.1585489586081964e-07
201,-3173325.912716963,3080227.9778068373,1266924960.4516633,1.1536503771596879e-07
202,-3167128.010543688,3086600.3804315194,1266924960.4516633,1.1488019191843376e-07
203,-3160930.108370412,3092947.2341984753,1266924960.4516633,1.1440028478839451e-07
204,-3154732.2061971375,3099268.6961101005,1266924960.4516635,1.1392524408274217e-07
205,-3148534.304023862,3105564.9212238337,1266924960.4516633,1.1345499897153942e-07
206,-3142336.4018505863,3111836.0627256697,1266924960.4516633,1.1298947999997516e-07
207,-3136138.4996773116,3118082.271920354,1266924960.4516633,1.1252861905892964e-07
208,-3129940.597504035,3124303.6983852894,1266924960.4516633,1.1207234934153133e-07
209,-3123742.695330761,3130500.4898360902,1266924960.4516635,1.1162060532684127e-07
210,-3117544.793157485,3136672.79236072,1266924960.4516633,1.1117332273095465e-07
211,-3111346.8909842097,3142820.7501618667,1266924960.4516633,1.1073043850322043e-07
212,-3105148.9888109346,3148944.5058304854,1266924960.4516635,1.1029189077544894e-07
213,-3098951.0866376595,3155044.200372476,1266924960.4516633,1.0985761883428652e-07
214,-3092753.184464384,3161119.9729918507,1266924960.4516633,1.0942756311563332e-07
215,-3086555.2822911083,3167171.9614015273,1266924960.4516633,1.0900166515314332e-07
216,-3080357.380117833,3173200.3016462727,1266924960.4516633,1.0857986757046196e-07
217,-3074159.4779445576,3179205.1282897736,1266924960.4516633,1.0816211404217684e-07
218,-3067961.575771283,3185186.5743180565,1266924960.4516633,1.0774834928017637e-07
219,-3061763.6735980078,3191144.771164104,1266924960.4516635,1.0733851900996638e-07
220,-3055565.7714247317,3197079.84889211,1266924960.4516633,1.0693256993401649e-07
221,-3049367.869251456,3202991.9359398955,1266924960.4516633,1.0653044973346669e-07
222,-3043169.967078181,3208881.159382503,1266924960.4516633,1.0613210702582155e-07
223,-3036972.064904907,3214747.644913983,1266924960.4516635,1.0573749134739763e-07
224,-3030774.162731631,3220591.516789424,1266924960.4516635,1.053465531395074e-07
225,-3024576.260558355,3226412.897886444,1266924960.4516633,1.0495924372505041e-07
226,-3018378.3583850805,3232211.909726217,1266924960.4516633,1.0457551528903773e-07
227,-3012180.4562118044,3237988.6724545527,1266924960.4516633,1.0419532086288044e-07
228,-3005982.5540385293,3243743.3049413753,1266924960.4516633,1.0381861429936536e-07
229,-2999784.651865254,3249475.924839573,1266924960.4516633,1.0344535025157261e-07
230,-2993586.7496919786,3255186.648367801,1266924960.4516633,1.0307548417469362e-07
231,-2987388.847518704,3260875.5906056883,1266924960.4516633,1.027089722863939e-07
232,-2981190.945345428,3266542.8653155616,1266924960.4516633,1.0234577156623677e-07
233,-2974993.043172153,3272188.5851179175,1266924960.4516635,1.0198583972678493e-07
234,-2968795.1409988776,3277812.861391571,1266924960.4516633,1.0162913520734504e-07
235,-2962597.2388256025,3283415.8043306055,1266924960.4516633,1.0127561715541036e-07
236,-2956399.3366523273,3288997.522922752,1266924960.4516633,1.0092524541474696e-07
237,-2950201.4344790513,3294558.125083241,1266924960.4516633,1.0057798050154113e-07
238,-2944003.532305776,3300097.7175544356,1266924960.4516633,1.0023378359945231e-07
239,-2937805.6301325005,3305616.405922502,1266924960.4516633,9.989261654563842e-08
240,-2931607.7279592254,3311114.2947497293,1266924960.4516633,9.955444180814403e-08
241,-2925409.8257859503,3316591.4874738487,1266924960.4516633,9.921922248182104e-08
242,-2919211.9236126747,3322048.0864623254,1266924960.4516633,9.888692227240885e-08
243,-2913014.0214393996,3327484.1929890513,1266924960.4516633,9.855750548692537e-08
244,-2906816.119266124,3332899.907364756,1266924960.4516633,9.82309370125583e-08
245,-2900618.217092849,3338295.328797618,1266924960.4516633,9.790718231653186e-08
246,-2894420.3149195737,3343670.5555613576,1266924960.4516633,9.758620742271107e-08
247,-2888222.4127462986,3349025.6848940407,1266924960.4516633,9.726797890902945e-08
248,-2882024.5105730235,3354360.8130503786,1266924960.4516633,9.695246389344929e-08
249,-2875826.6083997474,3359676.035277211,1266924960.4516633,9.663963002597616e-08
250,-2869628.7062264723,3364971.4459412573,1266924960.4516633,9.632944546952826e-08
251,-2863430.8040531967,3370247.1384276845,1266924960.4516633,9.602187889821452e-08
252,-2857232.9018799216,3375503.2051532697,1266924960.4516633,9.57168994871828e-08
253,-2851034.9997066464,3380739.7376929205,1266924960.4516633,9.541447689436964e-08
254,-2844837.097533371,3385956.8266780954,1266924960.4516633,9.511458125934873e-08
255,-2838639.195360096,3391154.5618092967,1266924960.4516635,9.481718319387909e-08
256,-2832441.29318682,3396333.0320190922,1266924960.4516633,9.45222537617362e-08
257,-2826243.3910135454,3401492.325181993,1266924960.4516635,9.42297644917508e-08
258,-2820045.48884027,3406632.5285407575,1266924960.4516633,9.393968733895144e-08
259,-2813847.5866669947,3411753.7283033775,1266924960.4516633,9.365199470606528e-08
260,-2807649.6844937196,3416856.0099553503,1266924960.4516633,9.336665941341292e-08
261,-2801451.7823204435,3421939.458120204,1266924960.4516633,9.308365470162768e-08
262,-2795253.8801471684,3427004.1565705747,1266924960.4516633,9.280295422362328e-08
263,-2789055.9779738933,3432050.1883509797,1266924960.4516633,9.25245320288509e-08
264,-2782858.0758006177,3437077.6356759816,1266924960.4516633,9.224836256369566e-08
265,-2776660.1736273426,3442086.579940719,1266924960.4516633,9.197442066397923e-08
266,-2770462.271454067,3447077.1018426605,1266924960.4516633,9.170268153985644e-08
267,-2764264.369280792,3452049.2812797446,1266924960.4516633,9.143312077658786e-08
268,-2758066.4671075167,3457003.1973603955,1266924960.4516633,9.116571432753469e-08
269,-2751868.5649342416,3461938.9285243033,1266924960.4516635,9.090043849965166e-08
270,-2745670.662760966,3466856.552440553,1266924960.4516633,9.063726995460285e-08
271,-2739472.760587691,3471756.1460540392,1266924960.4516633,9.037618569968354e-08
272,-2733274.8584144157,3476637.785557765,1266924960.4516633,9.011716308398961e-08
273,-2727076.9562411397,3481501.546512366,1266924960.4516633,8.98601797846468e-08
274,-2720879.0540678645,3486347.5037442837,1266924960.4516633,8.960521380833527e-08
275,-2714681.1518945894,3491175.731354696,1266924960.4516633,8.935224348528786e-08
276,-2708483.249721314,3495986.302838155,1266924960.4516633,8.910124745603226e-08
277,-2702285.3475480387,3500779.290980795,1266924960.4516633,8.885220467318577e-08
278,-2696087.445374763,3505554.7678688457,1266924960.4516633,8.86050943958354e-08
279,-2689889.543201488,3510312.8050064137,1266924960.4516633,8.835989617675425e-08
280,-2683691.641028213,3515053.473213743,1266924960.4516633,8.811658986444707e-08
281,-2677493.7388549373,3519776.8426353396,1266924960.4516633,8.787515559788051e-08
282,-2671295.8366816626,3524482.982856918,1266924960.4516635,8.763557379414694e-08
283,-2665097.934508387,3529171.9628037396,1266924960.4516633,8.739782515073469e-08
284,-2658900.032335112,3533843.8507845816,1266924960.4516633,8.716189063821489e-08
285,-2652702.1301618367,3538498.7144629564,1266924960.4516633,8.69277514978176e-08
286,-2646504.2279885607,3543136.620973004,1266924960.4516633,8.669538922964902e-08
287,-2640306.3258152856,3547757.6368179377,1266924960.4516633,8.646478559522979e-08
288,-2634108.42364201,3552361.8278773343,1266924960.4516633,8.623592261295177e-08
289,-2627910.521468735,3556949.2595222658,1266924960.4516633,8.600878254667905e-08
290,-2621712.6192954592,3561519.9965138473,1266924960.4516633,8.578334790846673e-08
291,-2615514.717122184,3566074.103010199,1266924960.4516633,8.55596014542924e-08
292,-2609316.814948909,3570611.642680844,1266924960.4516633,8.533752617301887e-08
293,-2603118.9127756334,3575132.6786053684,1266924960.4516633,8.511710528927614e-08
294,-2596921.0106023583,3579637.2732800725,1266924960.4516633,8.489832225944818e-08
295,-2590723.108429083,3584125.4887316646,1266924960.4516633,8.468116076097635e-08
296,-2584525.206255808,3588597.3864160352,1266924960.4516633,8.446560469538994e-08
297,-2578327.304082533,3593053.027260243,1266924960.4516633,8.425163818229478e-08
298,-2572129.401909257,3597492.471632984,1266924960.4516633,8.40392455579473e-08
299,-2565931.4997359817,3601915.7794573703,1266924960.4516633,8.382841136498026e-08
300,-2559733.5975627066,3606323.0101098814,1266924960.4516633,8.361912035561074e-08
301,-2553535.695389431,3610714.2224263605,1266924960.4516633,8.341135748815469e-08
302,-2547337.793216156,3615089.4748141426,1266924960.4516633,8.320510791705094e-08
303,-2541139.8910428802,3619448.8251511436,1266924960.4516633,8.300035699618536e-08
304,-2534941.988869605,3623792.3307915977,1266924960.4516633,8.27970902756061e-08
305,-2528744.0866963295,3628120.0486775516,1266924960.4516633,8.259529349183007e-08
306,-2522546.1845230544,3632432.035238099,1266924960.4516633,8.239495257126994e-08
307,-2516348.2823497793,3636728.346394874,1266924960.4516633,8.219605362713982e-08
308,-2510150.3801765046,3641009.037672936,1266924960.4516635,8.199858295002454e-08
309,-2503952.478003229,3645274.1641001436,1266924960.4516633,8.180252701140441e-08
310,-2497754.575829953,3649523.7802474997,1266924960.4516633,8.160787245862067e-08
311,-2491556.673656678,3653757.9401991037,1266924960.4516633,8.141460611415903e-08
312,-2485358.7714834027,3657976.6976622473,1266924960.4516633,8.122271496655204e-08
313,-2479160.8693101276,3662180.1058669956,1266924960.4516633,8.103218617401554e-08
314,-2472962.9671368524,3666368.21757117,1266924960.4516633,8.084300706174431e-08
315,-2466765.0649635764,3670541.085169869,1266924960.4516633,8.065516511304489e-08
316,-2460567.1627903013,3674698.760595213,1266924960.4516633,8.046864797304791e-08
317,-2454369.2606170257,3678841.2953211227,1266924960.4516633,8.028344344615311e-08
318,-2448171.3584437505,3682968.740472283,1266924960.4516633,8.009953948738394e-08
319,-2441973.4562704754,3687081.146724058,1266924960.4516633,7.991692420616494e-08
320,-2435775.5540972003,3691178.5643070694,1266924960.4516633,7.973558586390726e-08
321,-2429577.651923925,3695261.043115628,1266924960.4516635,7.95555128655737e-08
322,-2423379.749750649,3699328.6326078135,1266924960.4516633,7.937669376351442e-08
323,-2417181.847577374,3703381.381844435,1266924960.4516633,7.919911725317858e-08
324,-2410983.945404099,3707419.3394586476,1266924960.4516633,7.902277217290977e-08
325,-2404786.0432308237,3711442.5537636974,1266924960.4516633,7.88476474957746e-08
326,-2398588.1410575486,3715451.0726532247,1266924960.4516633,7.867373233346714e-08
327,-2392390.2388842725,3719444.9436054295,1266924960.4516633,7.850101593419011e-08
328,-2386192.3367109974,3723424.213790311,1266924960.4516633,7.832948767466578e-08
329,-2379994.4345377223,3727388.929970147,1266924960.4516633,7.815913706408762e-08
330,-2373796.5323644467,3731339.1385034937,1266924960.4516633,7.798995374211361e-08
331,-2367598.6301911715,3735274.8854519385,1266924960.4516633,7.782192747105305e-08
332,-2361400.7280178964,3739196.2164807557,1266924960.4516633,7.76550481398596e-08
333,-2355202.8258446213,3743103.176862749,1266924960.4516635,7.748930576222894e-08
334,-2349004.923671345,3746995.811618689,1266924960.4516633,7.732469046702957e-08
335,-2342807.0214980706,3750874.1652473495,1266924960.4516635,7.716119251195632e-08
336,-2336609.119324795,3754738.282104892,1266924960.4516633,7.699880226056352e-08
337,-2330411.21715152,3758588.206032685,1266924960.4516633,7.683751020168617e-08
338,-2324213.3149782447,3762423.980633761,1266924960.4516633,7.667730693238334e-08
339,-2318015.4128049687,3766245.6491397372,1266924960.4516633,7.651818316392758e-08
340,-2311817.5106316935,3770053.2544143186,1266924960.4516633,7.636012972012703e-08
341,-2305619.6084584184,3773846.8390585217,1266924960.4516633,7.62031375300436e-08
342,-2299421.706285143,3777626.445311923,1266924960.4516633,7.604719763208408e-08
